fecha,tarea,proyecto,bloque,horainicio,horafin,comentario,notas
08/01/2026,Comprobación constructiva cámara máquinas popa B151,BAC2,B151,10:29,15:30,Comprobación constructiva cámara máquinas popa B151,
09/01/2026,Comprobación constructiva cámara máquinas popa B151,BAC2,B151,7:00,13:57,Comprobación constructiva cámara máquinas popa B151,
12/01/2026,Comprobación constructiva cámara máquinas popa B151 y B550,BAC2,B151/B550,6:59,13:02,Comprobación constructiva cámara máquinas popa B151 y B550,
12/01/2026,Comprobación funcional de zona constructiva 5 (popa)  correspondiente a las zonas de fuego 3 y 4,BAC2,B540,13:02,15:35,Comprobación funcional de zona constructiva 5 (popa)  correspondiente a las zonas de fuego 3 y 4,
13/01/2026,Comprobación funcional de zona constructiva 5 (popa)  correspondiente a la zona 3 de fuego,BAC2,B540,6:59,12:34,Comprobando esquema funcional AAOR-BAC nivel 01  segunda cubierta  nivel 06  nivel 05  nivel 04  nivel 03  nivel 02,
13/01/2026,Comprobación funcional de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B520  B521  B530  B531,12:34,13:36,Comprobando esquema funcional AAOR-BAC  segunda cubierta,
13/01/2026,Varios Excel,PROG,GENERAL,13:36,15:27,Varios Excel,
14/01/2026,Comprobación funcional de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B520  B521  B530  B531,7:01,8:20,Comida,
14/01/2026,Listado de símbolos en excel,PROG,GENERAL,8:20,9:21,Varios,
14/01/2026,Comprobación funcional de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B520  B521  B530  B531,9:21,10:00,Comida,
14/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B520,10:00,15:00,Varios manual Foran,
14/01/2026,Reconocimiento médico,INT,GENERAL,15:00,15:30,Reconocimiento médico,
14/01/2026,Varios,BAC2,GENERAL,15:30,16:02,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,
15/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B520,6:59,13:30,Reunión por Teams con Paula y Miguel,
15/01/2026,Varios excel,PROG,GENERAL,13:30,14:01,Reunión Teams (Sheila  Paula  Miguel y yo),
15/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,14:01,15:00,Comida,
15/01/2026,COMIDA,COM,GENERAL,15:00,15:30,COMIDA,
15/01/2026,Varios manual Foran,MAN,GENERAL,15:30,16:02,Comida,
16/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,7:00,7:45,Formulario para el cálculo de secciones de conductos a partir del DN ,
16/01/2026,Manual Foran,MAN,GENERAL,7:45,8:07,Formulario para el cálculo de secciones de conductos a partir del DN ,
16/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,8:07,8:34,Comparación de diagramas constructivos,
16/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,7:10,08:34,Comprobación de conducto VEN4433  ,Imagen
16/01/2026,Reconocimiento médico,DES,GENERAL,8:48,11:30,Reconocimiento médico,
16/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,11:30,11:47,Comprobación de conducto VEN4433  VEN4829,Imagen
16/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,11:47,12:20,Comprobación de conducto VEN4411  VEN4211,Imagen
16/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,12:20,12:32,Comprobación de conducto VEN4212,Imagen
16/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,12:32,12:44,Comprobación conducto VEN4308,Imagen
16/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,12:44,12:52,Comprobación conducto VEN4500  VEN4307,Imagen
16/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,12:52,13:02,Comprobación conducto VEN4302,Imagen
16/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,13:02,14:01,Comprobación de máquinas y elementos mecánicos existentes en el bloque B531,Imagen
19/01/2026,Comprobación de conexión a internet,BAC2,GENERAL,6:59,7:04,Fallo en la conexión a wifi  ya solucionado,
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B530,7:04,8:30,Comprobación de componentes mécanicos existentes en el bloque B531,Imagen
19/01/2026,Se pasa OCR al pdf del diagrama de la zona de fuego 4 en zona constructiva 5,BAC2,GENERAL,8:30,9:12,Se pasa OCR a diagrama de fuego zona 4  porque no considera los textos en vertical.,
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B530,9:12,9:25,Comprobación conducto VEN4309  VEN4318,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,9:25,9:31,Comprobación conducto VEN41317,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,9:31,9:42,Comprobación conducto VEN4315  VEN4316,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,9:42,9:48,Comprobación conducto VEN4326,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,9:48,9:50,Comprobación de conducto VEN4314,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,9:50,10:06,Comprobación VEN4308  VEN4313,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,10:06,10:11,Comprobación VEN4311,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,10:11,10:13,Comprobación final conducto VEN4308,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,10:13,10:28,Comprobación final conducto VEN4312,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,10:28,10:30,Comprobación final conducto ACO4132,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,10:30,10:34,Comprobación final conducto ACO4132,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,10:34,10:45,Comprobación final conducto ACO4133,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,10:45,10:56,Comprobación final conducto ACO4138,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,10:56,10:58,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,
19/01/2026,Reunión con Jesús Blanco Paz acerca de la zona 2  y puerta de calidad el 26/01/2026,BAC2,GENERAL,10:59,11:28,Comprobación del estado de la zona 2  avances en las distintas disciplinas,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,11:28,11:45,Comprobación final conducto ACO4128,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,11:45,11:51,Comprobación final conducto ACO4133,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,11:51,11:56,Comprobación final conducto ACO4130,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,11:56,11:57,Comprobación final conducto ACO4130,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,11:57,11:59,Comprobación final conducto ACO4131,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,11:59,12:01,Comprobación final conducto ACO4128 (FINAL),Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,12:01,12:04,Comprobación final conducto ACO4129,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,12:04,12:06,Comprobación final conducto ACO4139,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,12:06,12:09,Comprobación final conducto ACO4126,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,12:09,12:14,Comprobación final conducto ACO4127,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,12:14,12:19,Comprobación final conducto ACO4121  ACO4122,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,12:19,12:25,Comprobación final conducto ACO4113,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,12:25,12:27,Comprobación final conducto ACO4115,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,12:27,12:29,Comprobación final conducto ACO4114,Imagen
19/01/2026,Macro para insertar la hora de inicio de una tarea  partiendo de la hora final de la anterior,PROG,B531,12:29,12:40,Macro para insertar la hora de inicio de una tarea  partiendo de la hora final de la anterior,
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,12:40,12:50,Comprobación final conducto ACO4116,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,12:50,12:56,Comprobación final conducto ACO4117,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,12:56,12:58,Comprobación final conducto ACO4116,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,12:58,13:01,Comprobación final conducto ACO4119,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,13:01,13:03,Comprobación final conducto ACO4118  ACO4120,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,13:03,13:06,Comprobación final conducto ACO4125,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,13:06,13:22,Comprobación final conducto ACO4124,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,13:22,13:35,Comprobación final conducto VEN4411,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,13:35,13:37,Comprobación final conducto VEN4128,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,13:37,13:40,Comprobación final conducto VEN4202,Imagen
19/01/2026,Comprobación constructiva de zona constructiva 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,13:40,13:55,Comprobación final conducto VEN4001,Imagen
19/01/2026,Llamada Miguel acerca de esquema funcional en Zona de fuego 3 del AAOR/BAC,BAC2,GENERAL,13:55,14:07,Nueva comprobación de las fotos y comentarios realizados en la zona de fuego 3 del BAC/AAOR,
19/01/2026,Revisión de los distintos comentarios del diagrama funcional del AAOR y del BAC de acuerdo a comentarios de Miguel  conforme hay imágenes que no están bien  con lo que opto por revisar todo  antes de que Miguel pierda tiempo,BAC2,GENERAL,14:07,15:01,Revisión del diagrama funcional AAOR/BAC,
19/01/2026,COMIDA,COM,GENERAL,15:01,15:31,COMIDA,
19/01/2026,Revisión comentarios del diagrama funcional del AAOR/BAC según lo acordado con Miguel,BAC2,GENERAL,15:31,15:58,Revisión del diagrama funcional AAOR/BAC,
19/01/2026,Reunión por Teams con Paula y Miguel,BAC2,GENERAL,15:58,16:28,Reunión por Teams con Paula y Miguel,
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,6:55,08:00,Reunión Teams (Sheila  Paula  Miguel y yo),Imagen
20/01/2026,Reunión Teams (Jesús Castelao López  Paula  Miguel y yo,BAC2,GENERAL,8:00,08:33,Comida,
20/01/2026,Reunión Teams (Sheila  Paula  Miguel y yo),BAC2,GENERAL,8:33,8:50,Revisión de diagrama funcional AAOR-BAC  de acuerdo a los comentarios realizados por Miguel,
20/01/2026,Reunión Teams (Miguel y yo),BAC2,GENERAL,8:50,09:15,Comida,
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,9:15,09:28,Formulario para el cálculo de secciones de conductos a partir del DN ,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,9:28,09:34,Formulario para el cálculo de secciones de conductos a partir del DN ,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B540,9:34,09:36,Comparación de diagramas constructivos,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,9:36,09:40,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,9:40,10:06,Comprobación VEN4501,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,10:06,10:10,Comprobación NBQ4106,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,10:10,10:20,Comprobación VEN4499,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,10:20,10:23,Comprobación VEN4412,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,10:23,10:35,Comprobación VEN4499,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,10:35,10:39,Comprobación VEN4323,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,10:39,10:42,Comprobación VEN4322,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,10:42,10:44,Comprobación VEN4322  VEN4325  VEN4324,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,10:44,10:56,Comprobación VEN4326,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,10:56,10:58,Comprobación VEN4327,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,10:58,11:00,Comprobación VEN4327,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,11:00,11:34,Comprobación VEN4601,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,11:34,11:56,Comprobación VEN4604,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,11:56,12:04,Comprobación VEN4603,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,12:04,12:15,Comprobación VEN4601 en final nivel 01 banda de Br,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,12:15,12:28,Comprobación VEN4606,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,12:28,12:33,Comprobación VEN4431,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,12:33,12:40,Comprobación VEN4411,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,12:40,12:41,Comprobación VEN4202,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521-B531,12:41,12:50,Comprobación VEN4209,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521-B531,12:50,12:57,Comprobación NBQ4170,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,12:57,13:11,Comprobación NBQ4170,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,13:11,13:14,Comprobación VEN4410,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521,13:14,13:17,Comprobación VEN4434,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,13:17,13:31,Comprobación de VEN4610 y VEN4611,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,13:31,13:58,Comprobación VEN4612  ,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,13:58,14:18,Comprobación VEN4616 y varios equipos,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,14:18,14:25,Comprobación de VEN4610  VEN4614  VEN4617,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,14:25,14:42,Comprobación de NBQ4104  NBQ4103,Imagen
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,14:42,15:00,Varios remodelación macros,
20/01/2026,COMIDA,COM,GENERAL,15:00,15:30,COMIDA,
20/01/2026,Revisión de macros,PROG,GENERAL,15:30,16:03,Creación de formulario para cálculo de velocidades   diámetros equivalentes ,
21/01/2026,Revisión de macros,PROG,GENERAL,6:56,07:37,Creación de formulario para cálculo de velocidades   diámetros equivalentes ,
20/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,7:37,07:54,Comprobación ACO4155,
21/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,7:54,07:56,Comprobación ACO4158,
21/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,7:56,08:02,Comprobación ACO4160,
21/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,8:02,08:08,Comprobación ACO4191,
21/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,8:08,08:11,Comprobación ACO4180,
21/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521-B531,8:11,08:18,Comprobación ACO4180  ACO4168  ACO4401  AC04164,
21/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521-B531,8:18,08:21,Comprobación ACO4163  ACO4166,
21/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521-B531,8:21,08:32,Comprobación ACO4168 hacia banda BBr. ACO4169,
21/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521-B531,8:32,08:34,Comprobación ACO4175,
21/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,8:34,08:36,Comprobación ACO4176,
21/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,8:36,08:37,Comprobación ACO4177,
21/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,8:37,08:45,Comprobación ACO4168  ACO4405  ACO4174,
21/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531-B540,8:45,08:50,Comprobación ACO4406  ACO4168  ACO4171,
21/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,8:50,08:52,Comprobación ACO4405,
21/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,8:52,09:09,Comprobación ACO4142  ACO4406 (DEBERIA TENER OTRA NOTACIÓN POR REPETICION. SE INCLUYE EN EXCEL DE REVISIÓN),
21/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B521-B531,9:09,09:12,Comprobación ACO4147  ACO4146,
21/01/2026,Fallo en 2FA para acceder al ordenador después de haberlo bloqueado por salir de mi escritorio,NAV,GENERAL,9:12,09:52,Fallo en 2FA para acceder al ordenador después de haberlo bloqueado por salir de mi escritorio,
21/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531-B540,9:52,10:22,Comprobación ACO4624. No corresponde diagrama con modelo 3D,
21/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B540,10:22,10:31,Comprobación ACO4620.,
21/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B540,10:31,10:38,FCO-ACO4006 y FCO-ACO3006 fuera del bloque B540 por la banda de babor,
21/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,10:38,11:10,Comprobación ACO4621 y ACO4623,
21/01/2026,Comprobación constructiva de zona 5 (popa) correspondiente a la zona 4 de fuego,BAC2,B531,11:10,11:16,Comprobación NBQ4631,
21/01/2026,Varios,BAC2,B531,11:16,11:24,Varios,
21/01/2026,Aplicativo cálculo de conductos,BAC2,B531,11:24,12:37,Avance en el formulario de cálculo de conductos,
21/01/2026,Conversación Teams con Miguel,BAC2,GENERAL,12:37,12:54,Se le comenta a Miguel  que acabé con zona de fuego 4 en zona constructiva 5. Voy a revisar nuevamente que no falte conducto alguno por revisar  y se revisan los comentarios realizados por el en días pasados para implementarlos en la hoja donde se están reflejando los comentarios funcionales AAOR-BAC,
21/01/2026,Revisión de diagrama funcional AAOR-BAC  de acuerdo a los comentarios realizados por Miguel,BAC2,GENERAL,12:54,15:04,Revisión de diagrama funcional AAOR-BAC  de acuerdo a los comentarios realizados por Miguel,
21/01/2026,COMIDA,COM,GENERAL,15:04,15:34,COMIDA,
21/01/2026,Formulario para el cálculo de secciones de conductos a partir del DN ,PROG,GENERAL,15:34,16:04,Formulario para el cálculo de secciones de conductos a partir del DN ,
22/01/2026,Formulario para el cálculo de secciones de conductos a partir del DN ,PROG,GENERAL,06:56,08:12,Formulario para el cálculo de secciones de conductos a partir del DN ,
22/01/2026,Conversación Teams con Miguel,BAC2,GENERAL,8:12,08:22,Conversación acerca de la zona 5  realización de análisis constructivo en zona de fuego 4 de la zona constructiva 5,
22/01/2026,Comparación de diagramas constructivos,BAC2,GENERAL,8:22,08:50,Comparación de diagramas constructivos,
22/01/2026,Comparación de diagramas constructivos ZF4 en ZC5 B521,ABAC,GENERAL,8:50,09:36,Conversión OCR de ambos diagramas constructivos AAOR-BAC,
